icd_value,diagnosisname,count,sepsis_category,icd_type,icd_l1_name,icd_l2_name,icd_l3_name
E16.1,Other hypoglycemia,220,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Other disorders of glucose regulation and pancreatic internal secretion (E15-E16),Other disorders of pancreatic internal secretion
G40.101,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable, with status epilepticus (CMS code)",220,,ICD-10-CM,Diseases of the nervous system (G00-G99),Episodic and paroxysmal disorders (G40-G47),Epilepsy and recurrent seizures
I50.812,Chronic right heart failure (CMS code),220,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other forms of heart disease (I30-I52),Heart failure
J67.9,Hypersensitivity pneumonitis due to unspecified organic dust (CMS code),220,,ICD-10-CM,Diseases of the respiratory system (J00-J99),Lung diseases due to external agents (J60-J70),Hypersensitivity pneumonitis due to organic dust
C7A.1,Malignant poorly differentiated neuroendocrine tumors (CMS code),220,,ICD-10-CM,Neoplasms (C00-D49),Malignant neuroendocrine tumors (C7A),Malignant neuroendocrine tumors
E10.42,Type 1 diabetes mellitus with diabetic polyneuropathy (CMS code),219,,ICD-10-CM,"Endocrine, nutritional and metabolic diseases (E00-E89)",Diabetes mellitus (E08-E13),Type 1 diabetes mellitus
N75.1,Abscess of Bartholin's gland,219,infection_skin,ICD-10-CM,Diseases of the genitourinary system (N00-N99),Inflammatory diseases of female pelvic organs (N70-N77),Diseases of Bartholin's gland
S41.111A,"Laceration without foreign body of right upper arm, initial encounter",219,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the shoulder and upper arm (S40-S49),Open wound of shoulder and upper arm
S92.352A,"Displaced fracture of fifth metatarsal bone, left foot, initial encounter for closed fracture",219,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)",Injuries to the ankle and foot (S90-S99),"Fracture of foot and toe, except ankle"
I97.89,"Other postprocedural complications and disorders of the circulatory system, not elsewhere classified",219,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Other and unspecified disorders of the circulatory system (I95-I99),"Intraoperative and postprocedural complications and disorders of circulatory system, not elsewhere classified"
H00.019,Hordeolum externum,219,,ICD-10-CM,Diseases of the eye and adnexa (H00-H59),"Disorders of eyelid, lacrimal system and orbit (H00-H05)",Hordeolum and chalazion
H33.22,"Serous retinal detachment, left eye",219,,ICD-10-CM,Diseases of the eye and adnexa (H00-H59),Disorders of choroid and retina (H30-H36),Retinal detachments and breaks
