departmentname,count,departmentspecialty,is_icu
ZZZGYNECOLOGIC ONCOLOGY SVC,510,Gynecologic Oncology,False
ZZZSYMPTOM MGMT & PALLIATIVE CARE SVC,506,Palliative Medicine,False
PK LIVER TRANSPLANT SVC,493,Liver Transplant,False
SURG OHNS GENSURG PARN-BIL,454,*Unspecified,False
CARD CATH PARN,448,Cardiology,False
6E PCRC,441,*Unspecified,False
THORACIC SURGERY SVC,433,Thoracic Surgery,False
ZZZPEDIATRIC HOSPITAL MED SVC,421,General Pediatrics,False
SURG DOS COLORECTAL-BIL,413,*Unspecified,False
ORTHOPEDICS SVC,406,Orthopedic Surgery,False
PK ECG ED ADULT PRO-BIL,403,*Unspecified,False
ECG GLOBAL AMB-BIL,374,*Unspecified,False
ZZZSURG ORTHO TRAUMA PROS PARN-BIL,369,*Unspecified,False
C5 MED/SURG MB,366,Inpatient Nursing,False
4E SURGERY MZ,365,*Unspecified,False
NEURO OPHTH SVC,356,Ophthalmology,False
ZZZSYMPTOM MGMT & PALLIATIVE CARE MZ SVC,356,Symptom Management,False
PED HOSPITAL MED SVC,353,General Pediatrics,False
C6 HEME/ONC MB,337,Inpatient Nursing,False
PED GI/HEPATOLOGY SVC,327,Pediatric Gastroenterology,False
ECHO ADULT MZ,325,Cardiology,False
SURG URO ONC-BIL,318,*Unspecified,False
PEDIATRIC CRITICAL CARE SVC,316,Pediatric Critical Care Medicine,True
SURG ORTHO ARTHRO-BIL,308,*Unspecified,False
RAD NUCLEAR MED PARN,307,Nuclear Medicine,False
RAD FLUOROSCOPY MZ,302,Radiology,False
RAD X-RAY MZ,301,Radiology,False
A4 ICU MB,295,Inpatient Nursing,True
VASCULAR SURG PARN,275,Vascular Surgery,False
RAD CT MZ,262,Radiology CT,False
LAB SOM BLOOD BANK PARN-BIL,261,Lab,False
PK ECG GLOBAL MC-BIL,255,*Unspecified,False
RAD PET/CT PARN,246,Radiology,False
SURG DOS GS ENDOCRINE MZ-BIL,244,*Unspecified,False
PK CARDIAC SURGERY SVC,242,Cardiothoracic Surgery,False
RADIATION ONCOLOGY SVC,236,Radiation Oncology,False
SURG ORTHO HAND-BIL,236,*Unspecified,False
SURG ORTHO PROS PARN-BIL,234,*Unspecified,False
PEDIATRIC NEPHROLOGY SVC,230,Pediatric Nephrology,False
SURG ORTHO ARTHRO MZ BIL,228,*Unspecified,False
PK ID - TRANSPLANT SVC,227,Infectious Diseases,False
LAB SOM MOLEC CB-BIL,213,Lab,False
PK ADVANCED HEART FAIL SVC,209,Hospital Medicine,False
HEPA/PANC/BIL SURG SVC,206,General Surgery,False
SURG DOM ENDO MZ,191,*Unspecified,False
6S PICU,191,*Unspecified,True
PATHOLOGY MOLECULAR,191,Pathology,False
SURG OHNS-BIL,185,*Unspecified,False
PAIN - CHRONIC-BIL,183,Anesthesiology,False
PLASTIC SURGERY SVC,179,Plastic Surgery,False
EMERGENCY DEPARTMENT MB,178,Emergency Medicine,False
GENOMICS LAB MZ,178,Lab,False
EMERGENCY DEPT MB - BIL,177,*Unspecified,False
LAB SOM MICROBIOLOGY – BIL,177,*Unspecified,False
RAD IR MZ,170,Interventional Radiology,False
SURG ORTHO FOOT ANKLE-BIL,168,*Unspecified,False
ZZZSURG ORTHO ARTHRO PARN-BIL,161,*Unspecified,False
RAD ULTRASOUND MZ,160,Radiology,False
PEDIATRIC ID SVC,157,Pediatric Infectious Disease,False
PEDIATRIC PULMONOLOGY SVC,147,Pediatric Pulmonology,False
COLORECTAL SURGERY SVC,146,Colorectal Surgery,False
RAD ONC MZ DIVIS BASEMENT,145,Radiation Oncology,False
PED NON ANESTH IP3 SVC,144,Pain Medicine,False
SURG DOS ONCOLOGY-BIL,143,*Unspecified,False
ZZZORTHO TRAUMA SVC,139,Orthopedic Surgery,False
RAD MRI MZ,137,Radiology MR,False
ZZZGERIATRICS HOME SVC,135,Geriatric Medicine,False
15LS PERINATAL,135,Obstetrics and Gynecology,False
ZZZSURG DOS COLORECTAL PARN-BIL,134,*Unspecified,False
SURG DOS LIVER TRANS PARN-BIL,128,*Unspecified,False
INTERVENTIONAL PULMONOLOGY SVC,127,Pulmonology,False
SURG ORTHO OP MZ-BIL,118,*Unspecified,False
SURG ORTHO PROS MZ BIL,118,*Unspecified,False
SURG DOS KIDNEY TRANS PARN-BIL,118,*Unspecified,False
ADOLESCENT MEDICINE SVC,117,Adolescent Medicine,False
PK RAD X-RAY PARN,116,Radiology,False
SURGICAL ONCOLOGY SVC,115,Surgical Oncology,False
SURG DOS BREAST PLASTICS MZ-BIL,113,*Unspecified,False
SURG OB/GYN ONC-BIL,111,*Unspecified,False
SURG OHNS GENSURG MZ-BIL,110,*Unspecified,False
TOXICOLOGY SVC,109,Toxicology,False
SURG ORTHO ONC-BIL,106,*Unspecified,False
GI MZ,106,Gastroenterology,False
PK NEUROLOGY SVC,103,Neurology,False
QUALITY IMPROVEMENT,102,*Unspecified,False
SURG OPHTH RETINA AMB-BIL,102,*Unspecified,False
ELECTROPHYSIOLOGY PARN,102,Cardiology,False
HEM BMT PARN,101,Hematology and Oncology,False
ZZZSURG ORTHO SPORTS PARN-BIL,101,*Unspecified,False
PK SURG DOS CARDTHOR ADULT PARN-BIL,99,*Unspecified,False
PEDIATRIC CARDIOLOGY SVC,99,Pediatric Cardiology,False
PEDIATRIC ENDOCRINOLOGY SVC,99,Pediatric Endocrinology,False
SURG ORTHO SPORTS-BIL,98,*Unspecified,False
ZZZSURG ORTHO ONC PARN-BIL,98,*Unspecified,False
ZZZTHORACIC SURGERY SVC,97,Thoracic Surgery,False
GI ADVANCED ENDO MB,95,Gastroenterology,False
SURG OHNS VC MZ-BIL,95,*Unspecified,False
RAD NEURO IR PARN,95,Neuro-Interventional Radiology,False
PEDS GENETICS SVC,94,Pediatric Genetics,False
ECG GLOBAL MB-BIL,93,*Unspecified,False
6N PICU,92,*Unspecified,True
C6 BMT MB,92,Inpatient Nursing,False
PK PULMONOLOGY SVC,91,Pulmonology,False
A3 EMERGENCY L&D MB – BIL,90,Obstetrics and Gynecology,False
PK GASTROENTEROLOGY SVC,90,Gastroenterology,False
PK CARDIOLOGY CONSULT SVC,87,Cardiology,False
PERIOP MZ,87,*Unspecified,False
PK PATH SURGICAL PARN,86,Pathology,False
PK SURG DOM ENDO PARN,85,*Unspecified,False
ZZZSURG OHNS MZ-BIL,85,*Unspecified,False
C4 PCTC MB,83,Inpatient Nursing,False
PK LAB SOM HEMATOLOGY PARN-BIL,82,Lab,False
MGBS,81,*Unspecified,False
CARD MB,81,Cardiology,False
PAIN - ACUTE-BIL,76,Anesthesiology,False
7N PEDS TRAN,75,*Unspecified,False
ZZZSURG URO ONC PARN-BIL,73,*Unspecified,False
PK DOS LT,72,*Unspecified,False
ZZZSURG ORTHO FOOT ANKLE PARN-BIL,71,*Unspecified,False
PEDIATRIC NEUROLOGY SVC,71,Pediatric Neurology,False
PED RHEUMATOLOGY SVC,69,Pediatric Rheumatology,False
PK THORACIC SURGERY SVC,68,Thoracic Surgery,False
ZZZSURG ORTHO HAND PARN-BIL,67,*Unspecified,False
INTERVENTION PULM PARN,67,Pulmonary Function and Bronchoscopy,False
PK CARDIOLOGY SVC,64,Cardiology,False
C5 P TRANS MB,63,Inpatient Nursing,False
ZZZPED IMMUNOLOGY SVC,59,Pediatric Immunology,False
ED TOXICOLOGY SVC,57,Toxicology,False
SURG OPHTH PLASTICS PARN-BIL,57,*Unspecified,False
SURG ORTHO TRAUMA PROS MB-BIL,57,*Unspecified,False
PRIMARY CARE LV,57,Primary Care,False
PK NEPHROLOGY SVC,56,Nephrology,False
CARD PARN,55,Cardiology,False
URO SURG ONC MB 6,55,Urologic Oncology,False
4 MEDSURG ICU MZ,54,*Unspecified,True
ONCOLOGY SVC OLD,54,Oncology,False
PK PULM FUNC PARN,53,Pulmonary Function and Bronchoscopy,False
SURG OPHTH CORNEA-BIL,52,*Unspecified,False
PK HOSP MEDICINE SVC,52,Hospital Medicine,False
FACIAL PLAS SURG MZ,51,"Otolaryngology, Head and Neck Surgery",False
PDC IP ULTRASOUND MB,51,Prenatal Diagnosis,False
CARD POST PROCEDURE AHP SVC,50,Cardiology,False
PK INFECTIOUS DISEASE SVC,49,Infectious Diseases,False
ZZZPK ID TX SVC BIL,47,Infectious Diseases,False
PERIOP MB,46,*Unspecified,False
PK ECHO ADULT PARN,46,Cardiology,False
ZZZSURG DOS ONCOLOGY MZ-BIL,45,*Unspecified,False
PK RAD CT PARN,45,Radiology,False
RAD ONC MB 1,45,Radiation Oncology,False
